,days,hours,b'11126_fg,b'11126_obs,b'11035_fg,b'11035_obs
0,317,0,,,,
1,317,1,280.9761543273926,281.54998779296875,279.6886459350586,278.95001220703125
2,317,2,280.88272018432616,282.25,278.9923126220703,278.45001220703125
3,317,3,280.8173110961914,281.45001220703125,278.5913452148437,278.04998779296875
4,317,4,280.6169036865234,281.1499938964844,278.41555938720705,277.8500061035156
5,317,5,280.774243927002,280.3500061035156,278.28486557006835,277.95001220703125
6,317,6,280.97301864624023,280.54998779296875,278.22381057739256,277.45001220703125
7,317,7,280.74997329711914,280.8500061035156,278.39942398071287,278.25
8,317,8,280.6942451477051,281.45001220703125,279.4560211181641,279.8500061035156
9,317,9,281.1405220031738,281.75,280.986833190918,281.25
10,317,10,281.54184036254884,281.95001220703125,282.370418548584,282.75
11,317,11,281.0588134765625,282.04998779296875,283.37895889282225,283.54998779296875
12,317,12,281.02659606933594,282.54998779296875,284.65707473754884,283.75
13,317,13,280.8843765258789,282.3500061035156,284.458194732666,285.25
14,317,14,279.7439788818359,280.6499938964844,283.7943458557129,285.1499938964844
15,317,15,278.339045715332,280.3500061035156,282.6195068359375,284.54998779296875
16,317,16,277.46180191040037,279.8500061035156,281.94692611694336,283.6499938964844
17,317,17,277.7501922607422,278.8500061035156,282.33232421875,283.1499938964844
18,317,18,277.43118209838866,278.3500061035156,283.29629745483396,283.3500061035156
19,317,19,276.4447792053223,277.54998779296875,282.9190086364746,283.1499938964844
20,317,20,275.0973777770996,277.1499938964844,282.9792762756348,284.45001220703125
21,317,21,274.36645736694334,276.45001220703125,283.2043029785156,283.45001220703125
22,317,22,274.00137786865236,275.95001220703125,283.2602935791016,283.95001220703125
23,317,23,273.232958984375,275.45001220703125,283.2814437866211,284.75
24,318,0,272.2358253479004,275.1499938964844,283.34213943481444,285.54998779296875
25,318,1,272.075048828125,273.75,283.15634536743164,285.95001220703125
26,318,2,271.9878105163574,273.95001220703125,283.4759216308594,285.6499938964844
27,318,3,271.74262619018555,273.45001220703125,283.9120574951172,285.25
28,318,4,271.14960327148435,272.45001220703125,283.32749252319337,284.54998779296875
29,318,5,270.6891693115234,271.95001220703125,282.8566352844238,284.3500061035156
30,318,6,270.1717987060547,271.8500061035156,282.25802154541014,283.8500061035156
31,318,7,269.7877906799316,271.6499938964844,282.1114082336426,283.75
32,318,8,270.58626861572264,272.45001220703125,282.4269821166992,283.6499938964844
33,318,9,271.3158843994141,272.8500061035156,283.1363021850586,284.6499938964844
34,318,10,272.88646545410154,273.8500061035156,283.87269058227537,284.75
35,318,11,272.7665107727051,274.1499938964844,284.16382522583007,285.25
36,318,12,273.3855369567871,274.45001220703125,284.57971954345703,285.75
37,318,13,273.14580688476565,274.54998779296875,284.4733207702637,285.6499938964844
38,318,14,272.9025520324707,274.45001220703125,283.76583099365234,284.95001220703125
39,318,15,272.1651435852051,274.1499938964844,282.572191619873,284.1499938964844
40,318,16,272.03449020385744,272.54998779296875,281.79988250732424,283.1499938964844
41,318,17,271.8013397216797,272.54998779296875,281.99861068725585,283.25
42,318,18,271.84337005615237,272.75,281.9282508850098,283.54998779296875
43,318,19,271.84306640625,272.75,281.2377426147461,283.45001220703125
44,318,20,271.82077102661134,273.25,280.9019058227539,283.3500061035156
45,318,21,272.0342414855957,273.25,280.878475189209,283.45001220703125
46,318,22,272.69433746337893,272.75,280.82007217407227,282.95001220703125
47,318,23,272.3715484619141,272.8500061035156,280.8516815185547,282.75
48,319,0,273.10269317626955,272.75,281.0665649414062,282.54998779296875
49,319,1,272.92761077880857,273.3500061035156,281.08008041381834,282.3500061035156
50,319,2,272.6320960998535,273.45001220703125,280.9941940307617,281.8500061035156
51,319,3,272.4726173400879,273.25,281.09747619628905,282.04998779296875
52,319,4,272.63877182006837,274.1499938964844,281.2870727539063,281.75
53,319,5,272.96990356445315,274.1499938964844,281.4708839416504,282.45001220703125
54,319,6,272.9237205505371,274.45001220703125,281.43486709594725,281.6499938964844
55,319,7,273.417301940918,275.45001220703125,281.66643447875975,282.54998779296875
56,319,8,273.7190475463867,276.25,282.1082931518555,282.04998779296875
57,319,9,274.1718292236328,276.54998779296875,282.78185882568357,282.75
58,319,10,275.2024887084961,277.6499938964844,282.9979080200195,283.1499938964844
